word,score,length,score_binarized
DH L EY ,13.107,3,FALSE
EY K JH AY EH P ,9.945,6,FALSE
HH ER UW Z AW ,6.817,5,FALSE
IH N Y W ,8.615,4,FALSE
UW N UW IH ,19.975,4,FALSE
M AO F EH F UH ,10.787,6,FALSE
N L AY D T Y CH EH IH ,48.48,9,FALSE
AY Z W UH ,15.241,4,FALSE
SH ER ,2.278,2,TRUE
TH F EH ,18.761,3,FALSE
SH F AH OW M ,14.306,5,FALSE
JH IH HH T IY F ,10.172,6,FALSE
AE DH G ,16.462,3,FALSE
W IY AH AW AE ,16.959,5,FALSE
AY L IY N AA Z EH F AA R ,2.321,10,TRUE
G AE AY AE R EY IH OW ER Z ,31.722,10,FALSE
B AH IH CH UW S EY ,9.834,7,FALSE
EY AY HH S ,30.261,4,FALSE
T F CH P EH HH EH AH K ,38.948,9,FALSE
Z K CH L ZH ,24.71,5,FALSE
AA W JH TH W JH AE ,40.819,7,FALSE
T B F UH ,36.348,4,FALSE
M EH Y ER SH M Y ,16.612,7,FALSE
S Z S ,32.993,3,FALSE
CH OY OY N IY ,10.036,5,FALSE
HH B UW D IH ,18.401,5,FALSE
AH L M B B ,11.667,5,FALSE
ZH V R AH T ER AE AO P W ,36.54,10,FALSE
ZH AO SH ER L G DH OW ,23.751,8,FALSE
G R EY M N ER ,2.74,6,FALSE
ER DH M ,14.306,3,FALSE
ER ER AH ZH M ,16.657,5,FALSE
DH AY AA HH IY G AY ,11.33,7,FALSE
V EY ZH AO TH G G ,23.48,7,FALSE
AA AA OY ,19.088,3,FALSE
IY ER UW ,6.518,3,FALSE
T T AH EH ZH ,29.749,5,FALSE
AY CH ,7.001,2,FALSE
CH JH Z UH OW F ,61.014,6,FALSE
JH JH CH L ,62.129,4,FALSE
N AA CH OY NG AY N ,12.78,7,FALSE
AA S OW S P OY AH ,0,7,TRUE
W M UH ,13.56,3,FALSE
AE AY B SH B NG SH G ,49.09,8,FALSE
ZH IY S N ,11.496,4,FALSE
S DH AY DH S UH ,49.882,6,FALSE
SH UW V K AA ,17.455,5,FALSE
OY P AH OY Z S R ,47.972,7,FALSE
SH NG IH OY R ,30.46,5,FALSE
DH M CH ,16.471,3,FALSE
K TH M DH G JH AE AA B ER AH IH ,48.419,12,FALSE
R HH T HH W IH ,27.326,6,FALSE
TH V ,28.423,2,FALSE
EH S EH M DH AH ZH AH AW ZH ,24.092,10,FALSE
UW Y HH D DH G OW V ,46.709,8,FALSE
OY EH ZH G ER P TH OW ,31.47,8,FALSE
F AA IH F AW ,14.072,5,FALSE
DH SH IH S L ,43.121,5,FALSE
AH G ,0,2,TRUE
CH NG OY CH ,24.031,4,FALSE
TH AO AA SH AY HH ,17.448,6,FALSE
AA W R K ,10.245,4,FALSE
AH Z ,6.09,2,FALSE
ER Y IH ,16.073,3,FALSE
R AW F AO ,8.002,4,FALSE
T AA V M ,9.539,4,FALSE
AE ZH EH K K EH ,14.359,6,FALSE
Z D Y UW AO ,31.528,5,FALSE
Y CH Y V EY JH Z ,38.442,7,FALSE
EY F ER W HH Z ,29.795,6,FALSE
S UW ER ER ,3.306,4,FALSE
UH Z B OW UW SH L TH R OY ,35.801,10,FALSE
G G SH K ER ,22.997,5,FALSE
UW NG EY ,24.511,3,FALSE
TH CH B UW ,24.055,4,FALSE
T M K ER ,13.798,4,FALSE
K UW ZH G G ,15.827,5,FALSE
NG V ,16.354,2,FALSE
NG F EH EH ER AE N ,26.551,7,FALSE
EH AH UH K Z L AA ,34.988,7,FALSE
AA UH Z M DH ER ,30.242,6,FALSE
IY F DH ZH ZH AO NG ,53.903,7,FALSE
EY AO AW ,27.574,3,FALSE
DH F ,29.794,2,FALSE
T S ,14.661,2,FALSE
K OW ER AE DH ZH ,31.851,6,FALSE
P Y ZH HH ,23.963,4,FALSE
Z ER EH F B ,18.353,5,FALSE
EH NG EH EH V ,17.6,5,FALSE
OY AW ZH ER Z Y OW Z ,31.422,8,FALSE
UW IY AY TH B W UH D ,48.898,8,FALSE
UW N UW EY ,17.033,4,FALSE
S F DH UH ,29.415,4,FALSE
EH P AO SH ER ,2.004,5,TRUE
S L DH W HH ,23.959,5,FALSE
V TH ,22.827,2,FALSE
AH IY B AH HH ,20.49,5,FALSE
SH ER N ,2.278,3,TRUE
Y AY D M D ,11.299,5,FALSE
F F N ,16.672,3,FALSE
W K T V S IY N V ,32.505,8,FALSE
SH S IY N HH ,17.69,5,FALSE
DH K AA R ,13.943,4,FALSE
