word,score,length,score_binarized
OW V ,0,2,TRUE
S UW ,0,2,TRUE
G AH ,0,2,TRUE
AA D ,0,2,TRUE
SH ER ,2.278,2,TRUE
AH D ,0,2,TRUE
L UW ,0,2,TRUE
OW P ,0,2,TRUE
G UW ,0,2,TRUE
IH JH ,2.053,2,TRUE
T OW ,0,2,TRUE
HH IY ,0,2,TRUE
R OY ,0,2,TRUE
D UW ,0,2,TRUE
AY B ,2.283,2,TRUE
AE K ,0,2,TRUE
EH T ,0,2,TRUE
OW N ,0,2,TRUE
AE R ,0,2,TRUE
ER CH ,0,2,TRUE
IH G ,0,2,TRUE
HH ER ,0,2,TRUE
N OY ,0,2,TRUE
EY T ,0,2,TRUE
AY R ,2.321,2,TRUE
TH ER ,0,2,TRUE
Y UW ,0,2,TRUE
D AH ,0,2,TRUE
R OW ,0,2,TRUE
M OW ,0,2,TRUE
AE P ,0,2,TRUE
AH JH ,0,2,TRUE
S EY ,0,2,TRUE
AO D ,1.938,2,TRUE
W OW ,0,2,TRUE
AH L ,0,2,TRUE
OW L ,0,2,TRUE
AW M ,7.6,2,FALSE
N EY ,3.078,2,FALSE
OW T ,2.689,2,FALSE
IY Z ,2.703,2,FALSE
ER NG ,3.58,2,FALSE
EY DH ,2.703,2,FALSE
R UH ,5.789,2,FALSE
AY HH ,4.822,2,FALSE
AE DH ,2.703,2,FALSE
EY R ,5.086,2,FALSE
EH SH ,2.557,2,FALSE
EY OW ,4.076,2,FALSE
JH AY ,2.562,2,FALSE
V UW ,4.386,2,FALSE
JH AH ,2.854,2,FALSE
HH W ,4.897,2,FALSE
SH AA ,3.635,2,FALSE
W AW ,2.726,2,FALSE
D AA ,3.635,2,FALSE
OW G ,2.568,2,FALSE
AY JH ,4.534,2,FALSE
ER EY ,2.806,2,FALSE
D OY ,3.178,2,FALSE
AW ER ,3.233,2,FALSE
TH AH ,2.577,2,FALSE
Z UW ,3.979,2,FALSE
AE Z ,2.703,2,FALSE
OW K ,2.568,2,FALSE
V OW ,3.147,2,FALSE
AO F ,2.564,2,FALSE
AH HH ,3.209,2,FALSE
IH Z ,2.703,2,FALSE
G EH ,4.829,2,FALSE
R AO ,3.635,2,FALSE
TH EY ,2.898,2,FALSE
M AO ,3.635,2,FALSE
N AY ,2.983,2,FALSE
T UW V ,0,3,TRUE
V AE N ,0,3,TRUE
F AH F ,0,3,TRUE
EH B UW ,0,3,TRUE
CH EY DH ,2.152,3,TRUE
N OW T ,0,3,TRUE
K L K ,1.742,3,TRUE
B AH SH ,0,3,TRUE
SH AE R ,0,3,TRUE
V OW TH ,2.453,3,TRUE
B AY K ,0,3,TRUE
W EY T ,0,3,TRUE
B EY K ,0,3,TRUE
F EY CH ,0,3,TRUE
W AA P ,0,3,TRUE
L UW L ,0,3,TRUE
ER V ER ,0,3,TRUE
AA N IY ,0,3,TRUE
B AE N ,0,3,TRUE
M AA CH ,0,3,TRUE
N AE D ,0,3,TRUE
IH L OY ,0,3,TRUE
AH L D ,0,3,TRUE
IH N OY ,0,3,TRUE
IY M IY ,0,3,TRUE
R IH TH ,0,3,TRUE
S ER S ,0,3,TRUE
S OW L ,0,3,TRUE
M AY D ,0,3,TRUE
P AE ZH ,0,3,TRUE
G OW Z ,0,3,TRUE
AE D UW ,0,3,TRUE
R IY D ,0,3,TRUE
W EH TH ,0,3,TRUE
M AA SH ,0,3,TRUE
M Y ER ,0,3,TRUE
Y AE K ,0,3,TRUE
T AH B ,0,3,TRUE
P AA R ,0,3,TRUE
CH IY S ,0,3,TRUE
B AY D ,0,3,TRUE
CH IH JH ,0,3,TRUE
W OW K ,0,3,TRUE
D OY S ,0,3,TRUE
F AE R ,0,3,TRUE
JH IH D ,0,3,TRUE
EY L IY ,0,3,TRUE
AY S T ,0,3,TRUE
DH IY DH ,0,3,TRUE
SH IH T ,0,3,TRUE
HH OY K ,0,3,TRUE
F AA N ,0,3,TRUE
Y AE N ,0,3,TRUE
TH IY JH ,0,3,TRUE
OW B EY ,0,3,TRUE
IH D EY ,0,3,TRUE
N EH L ,0,3,TRUE
G AO S ,0,3,TRUE
M IH DH ,0,3,TRUE
K IH L ,0,3,TRUE
F R S ,0,3,TRUE
R UW S ,0,3,TRUE
K OY N ,0,3,TRUE
D EH T ,0,3,TRUE
Y AA R ,0,3,TRUE
ER IH D ,0,3,TRUE
ER AE T ,0,3,TRUE
AA D AW ,0,3,TRUE
ER IY G ,0,3,TRUE
HH ER JH ,0,3,TRUE
M AA NG ,0,3,TRUE
HH AO R ,0,3,TRUE
JH AE L ,0,3,TRUE
AA B ER ,0,3,TRUE
Z IH M ,0,3,TRUE
N IY N ,0,3,TRUE
L AY T ,0,3,TRUE
R AA JH ,0,3,TRUE
W AA SH ,0,3,TRUE
IY M P ,0,3,TRUE
P AA SH ,0,3,TRUE
Y EH N ,0,3,TRUE
D EH CH ,0,3,TRUE
AE T IY ,0,3,TRUE
V EH NG ,1.747,3,TRUE
IH K AW ,0,3,TRUE
D UW P ,0,3,TRUE
W IY DH ,0,3,TRUE
AH S ER ,0,3,TRUE
Y AA T ,0,3,TRUE
EH L F ,0,3,TRUE
L OW L ,0,3,TRUE
T EH G ,0,3,TRUE
M IY JH ,0,3,TRUE
R EH NG ,1.747,3,TRUE
S IH D ,0,3,TRUE
EY L CH ,0,3,TRUE
D AH T ,0,3,TRUE
T AY AH ,0,3,TRUE
M ER OY ,0,3,TRUE
S L OY ,0,3,TRUE
EH F AY ,0,3,TRUE
T IH F ,0,3,TRUE
D AH V ,0,3,TRUE
CH AH NG ,0,3,TRUE
HH AE F ,0,3,TRUE
IH G EY ,0,3,TRUE
B ER N ,0,3,TRUE
CH AE B ,0,3,TRUE
K AW N ,0,3,TRUE
CH EH V ,0,3,TRUE
T EH V ,0,3,TRUE
AO L IY ,0,3,TRUE
AY T EY ,0,3,TRUE
D AA P ,0,3,TRUE
ER AY L ,0,3,TRUE
L IH R ,0,3,TRUE
ER S UW ,0,3,TRUE
R AO S ,0,3,TRUE
F R L ,2.183,3,TRUE
SH AE TH ,0,3,TRUE
K ER CH ,0,3,TRUE
ER AA S ,0,3,TRUE
OW B IY ,0,3,TRUE
EH JH ER ,0,3,TRUE
IH B IY ,2.283,3,TRUE
CH OW M ,2.18,3,TRUE
AH SH IY ,0,3,TRUE
AH S AH ,0,3,TRUE
SH AA V ,0,3,TRUE
AE R D ,0,3,TRUE
EH G AE ,0,3,TRUE
R IH P ,0,3,TRUE
W ER G ,0,3,TRUE
AO R UW ,0,3,TRUE
L AW S ,0,3,TRUE
SH AE CH ,0,3,TRUE
B EY DH ,0,3,TRUE
IH G AH ,0,3,TRUE
W IH P ,0,3,TRUE
G IH TH ,0,3,TRUE
K AA B ,0,3,TRUE
B IY Z ,0,3,TRUE
T AA N ,0,3,TRUE
HH OW K ,0,3,TRUE
G AH CH ,0,3,TRUE
K OY Z ,0,3,TRUE
F IH D ,0,3,TRUE
R IH M ,0,3,TRUE
L AA B ,0,3,TRUE
HH UW M ,0,3,TRUE
EH D IY ,0,3,TRUE
K L T ,0,3,TRUE
S T AH ,0,3,TRUE
G IH ZH ,0,3,TRUE
AH P EY ,0,3,TRUE
L UH D ,0,3,TRUE
L IY L ,0,3,TRUE
Y AH L ,0,3,TRUE
Y UW K ,0,3,TRUE
W AY L ,0,3,TRUE
L AY M ,0,3,TRUE
JH IH T ,0,3,TRUE
S UW D ,0,3,TRUE
D IH P ,0,3,TRUE
T EH P ,0,3,TRUE
HH OW G ,0,3,TRUE
L IH F ,0,3,TRUE
S AO D ,0,3,TRUE
B AA TH ,0,3,TRUE
F IY DH ,0,3,TRUE
SH AE K ,0,3,TRUE
EH R D ,0,3,TRUE
D AW N ,0,3,TRUE
V AA CH ,0,3,TRUE
IY N T ,2.139,3,TRUE
F OY K ,0,3,TRUE
W IH T ,0,3,TRUE
W AH NG ,0,3,TRUE
W ER JH ,0,3,TRUE
V IY V ,0,3,TRUE
N UW Z ,0,3,TRUE
T R UW ,0,3,TRUE
EY L AE ,0,3,TRUE
AO B EY ,2.564,3,FALSE
OW T AW ,5.241,3,FALSE
V R B ,3.701,3,FALSE
AO P S ,2.564,3,FALSE
AO K OW ,2.568,3,FALSE
ZH EH P ,4.494,3,FALSE
EH L TH ,2.626,3,FALSE
NG ER JH ,4.087,3,FALSE
Z AH T ,3.329,3,FALSE
D AO F ,2.564,3,FALSE
R AW F ,4.367,3,FALSE
CH UW P ,2.674,3,FALSE
CH OW HH ,5.389,3,FALSE
HH AY IY ,2.885,3,FALSE
M ER NG ,3.58,3,FALSE
JH AY L ,2.562,3,FALSE
AH TH AH ,2.577,3,FALSE
Y OW T ,2.761,3,FALSE
AH S AW ,2.552,3,FALSE
EH SH IY ,2.557,3,FALSE
AY Z IY ,2.703,3,FALSE
TH EY Z ,2.898,3,FALSE
AW S OW ,3.233,3,FALSE
Y OW K ,2.761,3,FALSE
K N IY ,3.784,3,FALSE
K OY TH ,3.29,3,FALSE
JH UH S ,2.54,3,FALSE
Y EH HH ,3.209,3,FALSE
F Y IY ,4.374,3,FALSE
B UH S ,2.54,3,FALSE
P AA HH ,3.209,3,FALSE
ER UH G ,3.768,3,FALSE
IH M AW ,2.983,3,FALSE
IY ER V ,4.095,3,FALSE
F AY AE ,3.078,3,FALSE
B Y OW ,2.761,3,FALSE
