Word,Score
HH AA N OW V EY K AH ,0
JH IH TH AH V ER SH IY ,0
AA N F IH G N EH JH ,0
ER IH V EH R P AW D ,0
S OW N AW D R OW K ,0
AE D IY K EH T IH B ,0
S OY S AA N AA S UW ,0
P IH M EH D IY V ER ,0
TH IY AE R B ER IH F ,0
F AH K AE T AH SH AH ,0
M EH L OW P AA R N ,0
S AH L IY D AH P EY ,0
L AY ER N OW D AA JH ,0
AA D AY K EH V AA S ,0
ER P S P EH M F UW ,2.434
OW S P R SH AH D AE ,2.382
G AH K T M AH JH IY ,0
ER AO L UW K M AE Z ,2.423
CH AH NG K AH B EH T ,0
B UW K W AA D AH JH ,0
IH G OY IH T AH K AW ,0
R UW N CH IY AH M AH ,0
W AH B OW HH EY B S ,5.472
ER AY B N UH L IY DH ,2.412
Y UW D IH V IY EH M ,0
W EH G UW Z N AE R ,2.163
AA M IY S L ER AE R ,0
P R JH IY OW T IH N ,0
OW L OW SH IY D AA M ,0
EY L F IH L ER OY Z ,0
F EH F IH D AE ZH ER ,0
P R B R JH EY S OW ,2.152
DH IH P AE CH AH S AH ,0
AE P IY L K SH IY OW ,0
N OY N K S K M ER ,0
DH IY S IY M R AE CH ,2.74
NG K L OW G OW L OY ,0
CH EH N OW B S P S ,0
T EH Z IY B Y AE L ,0
CH AA Z AY S K IY CH ,0
EH V R K UW F L CH ,0
TH R D IH Z AY R AH ,0
P AY Z OW S K AH L ,2.367
HH IY K OY AE K IY N ,0
CH AY B UW L CH UH L ,2.562
M ER AE K AH L IH D ,0
L AA R UW EH N AE G ,0
G UW Z L AO L OY K ,0
T UW M IY SH AE D EY ,0
AH N AE G IH K ER OY ,0
N IH S N UH D AO R ,0
HH OW B OY D AY B ER ,0
AH P UW K IH L K UW ,0
AE K CH ER TH IY M ER ,0
JH OY K T AA P OY TH ,3.29
AE G UW G AH G IY CH ,0
W EH G AH TH IH B EY ,0
IH S AY T AH B AY ER ,0
HH IH R S HH IY K OY ,3.209
L UH R JH EH D AH G ,0
P R EY N Y ER B AY ,0
S L JH IH K OY IH NG ,0
IY M ER N OW D EY G ,0
D IH M Y EH M EH V ,0
ER AY JH ER N CH UH D ,0
B L M N OW S IY CH ,2.74
R IH B AW N AW R S ,0
IH K AY B UW G AE SH ,2.459
G AW D OW AE L EY DH ,4.415
ER B AE ZH EH N EH G ,2.871
AY S EH TH EH L EY M ,0
AH B IY ER N AH D ER ,0
AE JH IY V IY JH IY N ,0
DH EH S AY K OW M AY ,2.983
B OY N F UW G AH NG ,2.434
ER IY EY M IH B IH NG ,0
P Y UW M EY D AE SH ,0
Z EH R L ER P EH V ,0
ER IY P AW ER M IH R ,0
CH AA S L D OW SH AO ,5.704
T AE JH ER D AA JH IY ,0
HH IY N ER T AO L CH ,0
B ER T EY SH ER JH OY ,0
IH M AH SH EH ZH AH S ,0
P AY JH OY L AA G AW ,0
CH EH JH AH TH IY S K ,0
D AE D IY AO S EY G ,2.277
EH S N R L EH M OW ,2.74
AA S AH JH EH N ER M ,0
D R M S AA K AA D ,2.607
M ER N AE D AO N TH ,0
R UW IH R AW R T AE ,0
R UW L AA CH ER V EY ,0
CH AE DH IY S L EH B ,0
F W IY L EH D UH T ,5.396
W OW B AO S N T S ,2.381
ER N UW IH T ER EY G ,0
IY F R AE N K L AE ,0
K L OW N AW N F OY ,0
AO S AO N AY K AA R ,0
P AE D AA M T AA B ,2.607
EY N D UW P AA M IY ,0
AH S OW B S K IH Z ,0
B UW V R AW AH F EY ,0
D OW G IH R V EY N ,1.909
F ER IY DH ER IY N UW ,0
AH N TH R K L SH AE ,0
IH R AA K IY N AY K ,0
N IY D L AA JH IH F ,0
JH AA SH UH G L IY ER ,0
AH JH AE D UW IH B OY ,0
N AW N IY K AO L EY ,0
P AY K M EY T IY M ,0
P R AY N ER V IY P ,0
D IY T IY L M AW S ,0
V AY AE JH ER K L OY ,0
F ER IY EH F L OW Z ,0
AE T ER S W ER L OY ,0
AH K M AE N G OY ER ,0
B AO R EH B R G OW ,0
EH R L EY S L JH IY ,0
B ER L M OW L K ER ,0
L AO D L F OY AE T ,0
G AO B Y ER AY Z IY ,2.564
G AA K R S OY S AH ,0
IH N JH UW AH V OW G ,0
W ER L AW N OY S K ,0
AY S AE S UW IH L AE ,0
P IY AA D ER IH S AE ,0
W IY AA Z AE G AY Z ,2.459
G IH V AE CH IY S ER ,0
IY F T OW P OW P IY ,0
K R P L AW R SH ER ,0
D AH B AH F IH K IY ,0
P UH Z IH NG K OW S ,2.121
EH N Y AE F OY S AH ,0
S EH P T IY F OY K ,0
NG K AE L EH B EY L ,0
P IY OW P ER JH IH NG ,0
IY V Y AO R AA R M ,0
TH IY T AE K ER SH OW ,2.18
AE TH AA TH AH D AY R ,0
OW F AA R F OW L V ,2.429
ER EH V AY S F IY AH ,0
M AA P ER SH AH L AE ,0
AE B IY EH K R AH T ,0
P UW N AH V IY V AH ,0
G IH B UW EH D AE V ,0
HH OY T N G AH L V ,2.504
P AE N V IH B V IY ,1.721
NG K OY N S IH L M ,0
SH EH P ER P EY D IY ,0
P ER M AA L SH IY Z ,0
AH S AY B R AE L OY ,0
EH P L JH AA N AO NG ,0
B EH S EY P S AA S ,0
AE JH ER S L T R D ,0
P EY M AY AE DH AH JH ,0
M EY G OY L L ER CH ,2.74
B EH T AE K IH ZH ER ,0
D IY DH ER AY P R N ,0
Y UW D AH T M AH D ,0
AO S OW D AY D AE F ,0
L AW S ER K L AH JH ,0
K OW D V EH L S AE ,0
ER D M B R B AE ZH ,0
HH AW N G AE CH ER N ,0
B R P R IH L IH TH ,0
IH S L AW R UW K T ,0
EH D IY AA D L ER AH ,0
