word,score,length,score_binarized
L OW ,0,2,TRUE
V AH ,0,2,TRUE
HH AH ,0,2,TRUE
G AE ,0,2,TRUE
K UW ,0,2,TRUE
D EY ,0,2,TRUE
G EY ,0,2,TRUE
CH ER ,0,2,TRUE
SH UW ,2.194,2,TRUE
B OY ,0,2,TRUE
HH UW ,0,2,TRUE
D UW ,0,2,TRUE
HH AY ,0,2,TRUE
JH IY ,0,2,TRUE
M ER ,0,2,TRUE
Z OW ,2.367,2,TRUE
SH AE ,0,2,TRUE
K EY ,0,2,TRUE
T AE ,0,2,TRUE
F AW ,2.434,2,TRUE
JH UW ,2.027,2,TRUE
S IY ,0,2,TRUE
K AY ,2.459,2,TRUE
K AE ,0,2,TRUE
P IY ,0,2,TRUE
N IY ,0,2,TRUE
S AE ,0,2,TRUE
W UW ,2.436,2,TRUE
R AE ,0,2,TRUE
D AH ,0,2,TRUE
F EY ,0,2,TRUE
N OW ,0,2,TRUE
AY AH ,2.321,2,TRUE
P UW ,0,2,TRUE
SH IY ,0,2,TRUE
SH OW ,2.18,2,TRUE
K AH ,0,2,TRUE
G AY ,2.459,2,TRUE
W ER ,0,2,TRUE
F IY ,0,2,TRUE
JH OY ,0,2,TRUE
L AY ,0,2,TRUE
R OY ,0,2,TRUE
R EY ,0,2,TRUE
P AH ,2.064,2,TRUE
B AY ,0,2,TRUE
TH UW ,2.325,2,TRUE
L AW ,0,2,TRUE
L AE ,0,2,TRUE
G IY ,0,2,TRUE
M AH ,0,2,TRUE
G UW ,0,2,TRUE
D AE ,0,2,TRUE
G OW ,0,2,TRUE
HH EY ,0,2,TRUE
M IY ,0,2,TRUE
TH ER ,0,2,TRUE
F AH ,2.064,2,TRUE
V AY ,0,2,TRUE
Y ER ,0,2,TRUE
R AW ,0,2,TRUE
S EY ,0,2,TRUE
R AH ,0,2,TRUE
B EY ,0,2,TRUE
P ER ,0,2,TRUE
V ER ,0,2,TRUE
W OW ,0,2,TRUE
K AW ,0,2,TRUE
P AE ,0,2,TRUE
V EY ,0,2,TRUE
TH IY ,0,2,TRUE
B OW ,0,2,TRUE
F UW ,2.434,2,TRUE
B ER ,0,2,TRUE
Z AO ,6.964,2,FALSE
V EH ,4.829,2,FALSE
JH EH ,7.683,2,FALSE
HH EH ,4.829,2,FALSE
Y UH ,5.789,2,FALSE
ZH ER ,7.23,2,FALSE
NG AW ,8.983,2,FALSE
W AA ,3.635,2,FALSE
Y IY ,4.374,2,FALSE
JH AW ,6.769,2,FALSE
DH AE ,5.805,2,FALSE
S AY ,3.178,2,FALSE
SH UH ,5.789,2,FALSE
L EH ,4.829,2,FALSE
SH AA ,3.635,2,FALSE
ZH OW ,7.958,2,FALSE
N UH ,5.789,2,FALSE
S IH ,6.983,2,FALSE
JH IH ,6.983,2,FALSE
F EH ,6.893,2,FALSE
CH AW ,4.742,2,FALSE
P EH ,6.893,2,FALSE
G UH ,8.041,2,FALSE
D AY ,3.178,2,FALSE
NG UH ,14.041,2,FALSE
TH AY ,6.296,2,FALSE
ER AY ,2.567,2,FALSE
T AY ,3.178,2,FALSE
R EH ,4.829,2,FALSE
