word,score,length,score_binarized
Z ER SH Z EY ,23.714,5,FALSE
JH N OW SH Y CH TH IY TH G S Y ,62.099,12,FALSE
TH HH HH OW DH B P ZH P TH AY SH G TH S T F OW ZH V HH S UW R DH ,127.622,25,FALSE
B W OY NG ,8.942,4,FALSE
TH JH AH T Z V ,38.271,6,FALSE
K NG L OW NG N F JH OY DH P L HH HH CH CH AH NG K K JH K UW Y L T ,112.456,26,FALSE
JH M CH UW HH JH CH F W AA CH CH OY W HH OY HH AH ,97.046,18,FALSE
N AE B S N K V W R UH SH F ZH W IH N NG OW ,52.852,18,FALSE
L OW ,0,2,TRUE
TH ZH IY Y G S HH ,51.359,7,FALSE
DH AO M S TH T UH DH W G OY R NG K M ,50.459,15,FALSE
HH JH AO NG M Z M Z AY DH G Z AA CH CH Z ,65.191,16,FALSE
L P CH OW DH V D F CH JH AO M R F ,54.493,14,FALSE
Z Z Z IH ZH Y ,54.406,6,FALSE
D AY Y TH F T EH L Z W Z W UW ,39.03,13,FALSE
TH HH JH AO JH R ,38.105,6,FALSE
SH EY M TH TH CH ,22.859,6,FALSE
T N AH ,11.321,3,FALSE
P ZH Y UW T DH IH Z Y OY T M SH CH AH ,67.615,15,FALSE
SH AW NG AH HH L ,31.441,6,FALSE
TH N L AY L S Y ER N NG T K ,27.52,12,FALSE
F SH IH T S Z N T ER F NG ,38.266,11,FALSE
D IH JH W Y HH EY L Z HH HH ,33.611,11,FALSE
R ZH G IH R HH R P SH AE D N R R AW ,36.048,15,FALSE
SH Y EY ,11.973,3,FALSE
Y UW F Z Z DH F IY D Z ,50.28,10,FALSE
N R TH AA D HH ZH ,34.499,7,FALSE
S ER T S ,2.381,4,TRUE
Z ZH D EY NG F Y M B N AY W S OY W ,88.493,15,FALSE
F UH K P F S Z SH AA K L ,49.179,11,FALSE
T AW Y G N UW DH Z T EH ,39.242,10,FALSE
W Z CH EY DH DH ,46.552,6,FALSE
S SH Z IY ,26.555,4,FALSE
B ZH AW W HH TH ,62.525,6,FALSE
K TH SH UH R ,16.691,5,FALSE
UH N AO D W TH K ,31.156,7,FALSE
L OY B F ,13.886,4,FALSE
JH P ER JH W EH S F ZH UW L M K ER ZH NG AA HH M D SH B EY ,85.804,23,FALSE
TH CH JH AA V HH G S JH P AA N NG ZH ,75.061,14,FALSE
K AO M G K V R D ER R JH TH ,41.808,12,FALSE
G ER S DH ZH AE D Z N HH AY DH K HH EH M K ,61.251,17,FALSE
P TH CH UH Y D TH CH Y OY ZH W N AO ,71.537,14,FALSE
P IH CH T R OW ,10.614,6,FALSE
N T IY K Z F Z ,29.455,7,FALSE
M OW K K TH M N B CH AW Z V V P B AO N G T L F OY HH L K ,77.105,25,FALSE
Z AO ,6.964,2,FALSE
HH W UW SH TH S HH AO N S DH OW ,39.282,12,FALSE
D F IY JH OY M G NG D ,40.269,9,FALSE
P ER Y T ZH EH D K SH CH ,38.372,10,FALSE
M S HH OY L ,14.703,5,FALSE
Y JH V AY G F Y AA TH Z ,42.193,10,FALSE
S NG V IY V Y Y JH ,22.822,8,FALSE
JH M OY T W ,18.953,5,FALSE
NG DH ZH AO TH HH NG K ,51.736,8,FALSE
SH V DH AW N JH DH ER K R IH ,54.881,11,FALSE
ZH T L EY CH W CH AH P M N AA CH NG F Z F IY N W UW N UH T ,79.03,24,FALSE
NG K AY ,2.459,3,TRUE
W K AW Z L AW N K G NG V ER ZH V S DH TH Z M UW ,91.483,20,FALSE
ZH AO F M ,17.669,4,FALSE
HH B IY K Z Z G P DH K EH S Y S CH HH AY Z Z DH ,94.061,20,FALSE
G IH F HH N ,15.017,5,FALSE
Z AA N JH ,3.329,4,FALSE
R G K IY NG UW D L NG G AE R G SH DH JH SH UW T HH M V ,98.22,22,FALSE
Z UW HH ,7.218,3,FALSE
V SH K EH F D G IH D HH W AA NG M ,56.049,14,FALSE
D N UW R D JH ,32.985,6,FALSE
R P DH IY SH D SH AW S F NG EY CH NG ,61.635,14,FALSE
F HH SH OW G UH ZH B ,40.712,8,FALSE
R AW TH T B T ,23.957,6,FALSE
Y N ER ,7.625,3,FALSE
NG NG S AE L HH JH ,29.088,7,FALSE
L DH F AE ZH ,34.437,5,FALSE
SH V UW SH W Z V AA P ER ,36.358,10,FALSE
L Z B OW DH B AW W L ,55.051,9,FALSE
B AW W G UW W W NG ,42.256,8,FALSE
SH N S AY HH HH JH Y P W IH ZH Y ER M ZH S Z K AO ,100.306,20,FALSE
V CH V AW DH L P ,45.551,7,FALSE
Y EY V F DH Z ZH AH W HH B AW M R L V M AY L JH EY ZH V F G ,112.375,25,FALSE
JH D AA HH CH HH TH CH ER TH ,56.73,10,FALSE
S P HH EH P IH ,14.185,6,FALSE
UH ZH OY M NG V Y AO F ,44.735,9,FALSE
ZH SH B AW ,41.746,4,FALSE
L D UW F W CH CH G S AE V DH N DH NG V UW D P T G G UH Y ,115.986,24,FALSE
OW DH AA HH CH D ,35.601,6,FALSE
T Y ER NG TH T ZH ,30.651,7,FALSE
Y IY Z ,2.154,3,TRUE
V R AA ,7.336,3,FALSE
ZH V DH AW AA P CH AH ,39.26,8,FALSE
M ZH AH S JH ,28.857,5,FALSE
UW TH SH UW S D S ,29.033,7,FALSE
K UH L F W P V EH Z NG NG D G EH DH CH V D ,74.009,18,FALSE
V P TH UW L L G S Y UW SH DH ,53.695,12,FALSE
D W ER G M IY M EY P ,2.361,9,TRUE
B Z Z IH G DH UH V B G K P OY F B V UW S ZH L K ,118.346,21,FALSE
V EH ,4.829,2,FALSE
TH R D AW CH F K Y CH EH HH UH Y JH ZH ,60.886,15,FALSE
K Z ER M HH IY JH CH Y JH SH T AO Z AY EH G D AH Y Z ,97.284,21,FALSE
DH V T AO V HH N AO V JH R Z ,70.592,12,FALSE
Y ZH CH ER P R DH V ,53.219,8,FALSE
DH AO L F K ZH N P F OY ,36.48,10,FALSE
L SH OW D ,12.633,4,FALSE
SH G EH Z V JH F IH V L S DH ,44.341,12,FALSE
HH S R AA L ,16.905,5,FALSE
HH Z AH F V G V K OY B T HH V Y R UH ,87.275,16,FALSE
K TH UH HH R DH OW T F Z CH AH CH L DH S ,92.711,16,FALSE
R B ZH AW ,20.915,4,FALSE
S W EH CH ZH L M F OY F ZH ER ZH CH AH CH D HH D OY HH SH ,112.36,22,FALSE
P UH P N ,11.941,4,FALSE
W JH AH S CH TH OW Y AE ,33.425,9,FALSE
CH W NG OW NG W M ZH HH AO D K G ,70.818,13,FALSE
R IH V CH R TH ,16.659,6,FALSE
JH DH OY SH JH T D AE R P G W HH AH M HH D IY HH W OW CH K Z S ,138.998,25,FALSE
IY W EY ,4.254,3,FALSE
JH OW D D F F ,19.248,6,FALSE
DH EH JH ,0,3,TRUE
S T W IY G N SH IH Z ,0,9,TRUE
B R EY S S F AE DH F B ZH AY ,33.929,12,FALSE
P R F EY S ,0,5,TRUE
ZH ZH IH SH F TH S G P UH B HH M HH N JH AO CH Y K B V V SH AY P G P ,160.568,28,FALSE
P HH SH AO T R D N IY NG T ,36.319,11,FALSE
F D UH R ZH R DH NG D W AH B N SH M UW CH ,42.849,17,FALSE
D K DH AY F W NG Y OW P ZH NG P F T S IH ,82.493,17,FALSE
ER Z IY Y K K F G K IH B R SH ,43.36,13,FALSE
SH R AE M D G N AO G ,10.301,9,FALSE
D S AO TH S B S R AW TH B Z ,59.36,12,FALSE
T JH HH AE DH AY W NG EY F ,59.843,10,FALSE
Y OY TH AY F ZH JH IY ,37.565,8,FALSE
NG ZH P UW ZH L G SH S EY G D SH ER Y ,70.39,15,FALSE
ZH P CH AW TH B CH JH V OY B ,65.654,11,FALSE
L SH EH ,15.282,3,FALSE
F CH D UW P ,21.91,5,FALSE
T AO Y ,9.738,3,FALSE
DH N AE DH V DH M IH SH K T T B P IY ,70.935,15,FALSE
HH TH R AH ,11.384,4,FALSE
HH T OW S JH S OY D TH N P ,33.989,11,FALSE
CH JH OY F JH S EH DH JH S R ,79.64,11,FALSE
M G Z OY DH JH N AH K P R AW M R NG SH AW G Y TH ,75.15,20,FALSE
V R IY ,3.701,3,FALSE
B V AH L OW JH HH P S Y S ER SH Z G ,65.797,15,FALSE
F V G UH ,33.585,4,FALSE
Z CH IH SH L Y L AE T Y UH ,44.476,11,FALSE
B AW B K AW DH D P P ZH W UH F B G ,80.254,15,FALSE
M EH HH L HH R ZH HH EY D L ,41.563,11,FALSE
P L DH AA P N TH CH ,21.487,8,FALSE
B G AY SH B AA T Z Z AE CH ,52.67,11,FALSE
G K AW V TH ZH ,50.004,6,FALSE
D AW R M JH CH NG IH G W L ,41.933,11,FALSE
Z F OW D SH ZH ER M OY Z TH UW K B ZH F AY CH ZH ,94.845,19,FALSE
T EH NG CH V B NG D TH ER DH K G HH Z UW Z P L ,88.864,19,FALSE
F D AA HH ,14.288,4,FALSE
NG JH T AY R CH HH L ,43.948,8,FALSE
JH EH ,7.683,2,FALSE
AE K AA L W ZH UW ,18.816,7,FALSE
DH K D EY R P Y ,27.868,7,FALSE
